codigo_produto,categoria,custo_unitario,preco_venda,unidades_vendidas_90d,estoque_atual
PROD-001,Vestuário,88.36,185.56,5,106.0
PROD-002,Beleza e Perfumaria,140.31,222.27,39,4.0
PROD-003,Utilidades Domésticas,34.27,46.15,424,134.0
PROD-004,Alimentos e Bebidas,136.82,291.12,92,49.0
PROD-005,Vestuário,64.91,109.87,24,249.0
PROD-006,Vestuário,86.89,"R$ 122,09",105,66.0
PROD-007,Eletrônicos,146.04,"R$ 237,07",41,216.0
PROD-008,Utilidades Domésticas,266.46,"R$ 533,97",70,297.0
PROD-009,Alimentos e Bebidas,175.63,"R$ 319,85",412,175.0
PROD-010,Utilidades Domésticas,10.21,21.92,195,266.0
PROD-011,eletronicos,47.34,103.63,167,256.0
PROD-012,eletronicos,23.69,38.6,225,232.0
PROD-013,eletronicos,"R$ 59,95",125.53,128,89.0
PROD-014,eletronicos,"R$ 106,38",229.99,39,66.0
PROD-015,eletronicos,"R$ 56,64",83.94,42,216.0
PROD-016,eletronicos,"R$ 141,2",299.42,287,281.0
PROD-017,Vestuário,248.13,356.11,46,120.0
PROD-018,Alimentos e Bebidas,248.54,439.83,64,232.0
PROD-019,Vestuário,105.19,213.3,5,9.0
PROD-020,Vestuário,101.37,164.36,41,24.0
PROD-021,Alimentos e Bebidas,225.0,324.25,109,9.0
PROD-022,Eletrônicos,127.45,202.51,39,19.0
PROD-023,Vestuário,291.18,530.43,34,275.0
PROD-024,Vestuário,136.26,222.74,144,50.0
PROD-025,Alimentos e Bebidas,76.74,153.03,107,288.0
PROD-026, Vestuário ,7.9,15.23,310,131.0
PROD-027, Vestuário ,286.46,561.5,441,124.0
PROD-028, Vestuário ,40.03,73.98,30,100.0
PROD-029, Vestuário ,56.68,78.76,488,298.0
PROD-030,Eletrônicos,16.31,35.27,166,290.0
PROD-031,Alimentos e Bebidas,142.16,210.95,43,148.0
PROD-032,Vestuário,125.47,163.42,98,208.0
PROD-033,Eletrônicos,245.65,517.28,106,171.0
PROD-034,Beleza e Perfumaria,168.83,351.95,62,72.0
PROD-035,Beleza e Perfumaria,176.78,384.87,181,102.0
PROD-036,Utilidades Domésticas,238.12,392.49,44,238.0
